Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Pacific,184497,all,,1.16,219.0,39,36,21,1.08,74%,134.0,15%,7.0,1.0,bo3
EJAY,RRQ,https://www.vlr.gg/player/7403/ejay,Pacific,184497,all,,0.98,217.0,42,36,9,1.17,74%,139.0,14%,7.0,9.0,bo3
Emman,RRQ,https://www.vlr.gg/player/9747/emman,Pacific,184497,all,,0.84,137.0,8,11,5,0.73,75%,85.0,50%,3.0,0.0,bo3
Lmemore,RRQ,https://www.vlr.gg/player/7764/lmemore,Pacific,184497,all,,0.78,171.0,33,39,8,0.85,70%,121.0,32%,3.0,7.0,bo3
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,184498,all,,1.33,242.0,50,36,30,1.39,75%,157.0,31%,3.0,5.0,bo3
Laz,ZETA,https://www.vlr.gg/player/999/laz,Pacific,184498,all,,1.14,229.0,44,37,18,1.19,75%,154.0,22%,4.0,4.0,bo3
TENNN,ZETA,https://www.vlr.gg/player/1395/tennn,Pacific,184498,all,,1.07,235.0,45,38,14,1.18,87%,151.0,15%,11.0,6.0,bo3
Dep,ZETA,https://www.vlr.gg/player/424/dep,Pacific,184498,all,,1.06,226.0,48,39,6,1.23,62%,138.0,18%,8.0,8.0,bo3
crow,ZETA,https://www.vlr.gg/player/1000/crow,Pacific,184498,all,,0.82,126.0,21,32,29,0.66,75%,86.0,23%,2.0,4.0,bo3
Sylvan,GEN,https://www.vlr.gg/player/4056/sylvan,Pacific,184498,all,,1.27,241.0,19,15,4,1.27,67%,154.0,29%,2.0,0.0,bo3
k1Ng,GEN,https://www.vlr.gg/player/771/k1ng,Pacific,184498,all,,1.04,189.0,39,39,12,1.0,65%,129.0,28%,2.0,7.0,bo3
GodDead,GEN,https://www.vlr.gg/player/4827/goddead,Pacific,184498,all,,0.96,197.0,37,43,29,0.86,69%,125.0,19%,5.0,4.0,bo3
