Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,167357,all,,0.78,186.0,29,31,6,0.94,68%,117.0,22%,6.0,6.0,bo3
Nivera,KC,https://www.vlr.gg/player/14669/nivera,EMEA,167357,all,,1.31,256.0,39,30,22,1.3,89%,156.0,37%,5.0,5.0,bo3
sh1n,KC,https://www.vlr.gg/player/2625/sh1n,EMEA,167357,all,,1.12,273.0,40,36,9,1.11,75%,168.0,26%,8.0,3.0,bo3
Newzera,KC,https://www.vlr.gg/player/2622/newzera,EMEA,167357,all,,0.96,168.0,28,29,12,0.97,70%,117.0,47%,3.0,6.0,bo3
xms,KC,https://www.vlr.gg/player/4603/xms,EMEA,167357,all,,0.75,154.0,22,33,12,0.67,59%,108.0,21%,2.0,4.0,bo3
ScreaM,KC,https://www.vlr.gg/player/92/scream,EMEA,167357,all,,0.67,131.0,19,33,14,0.58,59%,92.0,29%,0.0,8.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,167358,all,,1.32,234.0,38,30,34,1.27,80%,150.0,29%,7.0,3.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,167358,all,,1.14,236.0,41,34,20,1.21,75%,159.0,28%,4.0,3.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,167358,all,,1.02,247.0,44,40,10,1.1,69%,154.0,19%,15.0,8.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,167358,all,,0.96,181.0,32,33,14,0.97,69%,134.0,17%,3.0,5.0,bo3
Zest,KRX,https://www.vlr.gg/player/772/zest,Pacific,167358,all,,0.9,148.0,29,28,11,1.04,73%,98.0,23%,2.0,1.0,bo3
yay,C9,https://www.vlr.gg/player/881/yay,Americas,167358,all,,1.09,192.0,37,32,4,1.16,61%,118.0,25%,6.0,6.0,bo3
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,167358,all,,0.98,183.0,32,36,17,0.89,69%,123.0,14%,4.0,8.0,bo3
leaf,C9,https://www.vlr.gg/player/7873/leaf,Americas,167358,all,,0.95,204.0,34,38,14,0.89,71%,143.0,28%,3.0,6.0,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,167358,all,,0.9,197.0,35,40,12,0.88,67%,123.0,22%,3.0,5.0,bo3
vanity,C9,https://www.vlr.gg/player/7870/vanity,Americas,167358,all,,0.86,171.0,27,39,25,0.69,69%,106.0,10%,4.0,6.0,bo3
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,167359,all,,1.08,222.0,37,35,8,1.06,66%,146.0,20%,9.0,6.0,bo3
BcJ,EG,https://www.vlr.gg/player/864/bcj,Americas,167359,all,,1.03,194.0,29,33,21,0.88,70%,127.0,20%,2.0,7.0,bo3
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,167359,all,,0.93,200.0,32,36,6,0.89,74%,131.0,19%,4.0,3.0,bo3
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,167359,all,,0.92,182.0,29,34,33,0.85,72%,110.0,17%,2.0,8.0,bo3
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,167359,all,,0.89,172.0,26,36,19,0.72,72%,116.0,15%,4.0,2.0,bo3
JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,Pacific,167359,all,,1.28,254.0,43,30,19,1.43,83%,162.0,37%,4.0,2.0,bo3
garnetS,TLN,https://www.vlr.gg/player/18035/garnets,Pacific,167359,all,,1.18,250.0,41,31,8,1.32,79%,165.0,19%,9.0,3.0,bo3
foxz,TLN,https://www.vlr.gg/player/6723/foxz,Pacific,167359,all,,1.03,198.0,31,30,12,1.03,70%,133.0,21%,4.0,4.0,bo3
Sushiboys,TLN,https://www.vlr.gg/player/3342/sushiboys,Pacific,167359,all,,0.96,160.0,29,27,8,1.07,79%,112.0,27%,3.0,6.0,bo3
Crws,TLN,https://www.vlr.gg/player/3977/crws,Pacific,167359,all,,0.89,197.0,30,35,21,0.86,74%,123.0,22%,6.0,6.0,bo3
crashies,NRG,https://www.vlr.gg/player/4/crashies,EMEA,167360,all,,1.25,241.0,72,55,15,1.31,77%,163.0,22%,6.0,3.0,bo3
ardiis,NRG,https://www.vlr.gg/player/98/ardiis,EMEA,167360,all,,1.12,233.0,65,59,21,1.1,74%,160.0,21%,14.0,10.0,bo3
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,167360,all,,0.98,191.0,50,55,33,0.91,76%,124.0,24%,8.0,9.0,bo3
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,167360,all,,0.75,168.0,38,60,41,0.63,73%,108.0,16%,7.0,8.0,bo3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,167360,all,,0.74,178.0,44,64,22,0.69,64%,126.0,17%,7.0,6.0,bo3
