match_id,map_num,map_name,player,org,player_id,mk2,mk3,mk4,mk5,c1v1,c1v2,c1v3,c1v4,c1v5,econ,plants,defuses,date,event
167354,113058,PearlPICK,Ethan,EG,11225,4,2,0,0,0,0,0,0,0,66,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,Mixwell,TH,93,4,1,0,0,1,0,0,0,0,50,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,zeek,TH,562,1,3,0,0,1,1,0,0,0,69,2,2,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,Boo,TH,1144,1,0,0,0,0,0,0,0,0,35,3,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,AvovA,TH,1507,2,0,0,0,0,0,0,0,0,36,1,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,keloqz,TH,3582,2,0,0,0,0,0,0,0,0,54,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,Boostio,EG,604,5,1,0,0,0,0,0,0,0,65,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,C0M,EG,619,1,1,0,0,0,0,0,0,0,41,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,BcJ,EG,864,3,1,0,0,0,1,0,0,0,59,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,jawgemo,EG,3993,2,1,1,0,0,1,0,0,0,56,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167354,113059,AscentPICK,Ethan,EG,11225,5,0,1,0,0,0,0,0,0,94,4,2,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,frz,MIBR,651,3,2,0,0,0,0,0,0,0,71,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,murizzz,MIBR,783,2,2,0,0,0,1,0,0,0,65,4,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,RgLMeister,MIBR,5351,3,0,0,0,0,1,0,0,0,45,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,heat,MIBR,8673,5,0,0,1,0,0,0,0,0,86,0,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,jzz,MIBR,13093,1,0,0,0,0,0,0,0,0,26,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,Sushiboys,TLN,3342,3,2,0,0,1,0,1,0,0,68,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,Crws,TLN,3977,3,0,2,0,1,1,0,0,0,68,0,2,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,foxz,TLN,6723,1,1,0,0,0,0,0,0,0,53,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,JitBoyS,TLN,13788,0,1,0,0,0,0,0,0,0,27,3,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167355,113061,HavenPICK,garnetS,TLN,18035,5,1,0,0,0,0,0,0,0,54,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
