MatchID,MapNum,WinnerOrg,Score,MatchName
183945,119190,NAVI,13-10,Regular Season: Week 2
183945,119191,NAVI,13-8,Regular Season: Week 2
183945,all,NAVI,2-0,Regular Season: Week 2
183946,119193,FNC,13-3,Regular Season: Week 2
183946,119194,FNC,13-6,Regular Season: Week 2
183946,all,FNC,2-0,Regular Season: Week 2
183947,119196,TL,13-5,Regular Season: Week 2
183947,119197,TL,13-2,Regular Season: Week 2
183947,all,TL,2-0,Regular Season: Week 2
183948,119199,GIA,13-1,Regular Season: Week 2
183948,119200,GIA,13-11,Regular Season: Week 2
183948,all,GIA,2-0,Regular Season: Week 2
183949,119202,NAVI,13-3,Regular Season: Week 3
183949,119203,TH,13-9,Regular Season: Week 3
183949,119204,NAVI,13-2,Regular Season: Week 3
183949,all,NAVI,2-1,Regular Season: Week 3
183950,119206,FUT,13-9,Regular Season: Week 3
183950,126175,FUT,13-6,Regular Season: Week 3
183950,all,FUT,2-0,Regular Season: Week 3
183951,119208,FNC,13-6,Regular Season: Week 3
183951,119209,FNC,13-6,Regular Season: Week 3
183951,all,FNC,2-0,Regular Season: Week 3
183952,119211,GIA,13-10,Regular Season: Week 3
183952,119212,GIA,13-3,Regular Season: Week 3
183952,all,GIA,2-0,Regular Season: Week 3
183953,119214,VIT,13-2,Regular Season: Week 3
183953,119215,VIT,13-6,Regular Season: Week 3
183953,all,VIT,2-0,Regular Season: Week 3
184032,119231,SEN,13-7,Regular Season: Week 8
184032,119232,FUR,13-5,Regular Season: Week 8
184032,119233,SEN,19-17,Regular Season: Week 8
184032,all,SEN,2-1,Regular Season: Week 8
184033,119234,NRG,13-9,Regular Season: Week 8
184033,119235,NRG,13-7,Regular Season: Week 8
184033,all,NRG,2-0,Regular Season: Week 8
184034,119237,C9,15-13,Regular Season: Week 8
184034,119238,KRÜ,13-6,Regular Season: Week 8
184034,119239,C9,13-9,Regular Season: Week 8
184034,all,C9,2-1,Regular Season: Week 8
184035,119240,LOUD,13-7,Regular Season: Week 8
184035,119241,LOUD,13-5,Regular Season: Week 8
184035,all,LOUD,2-0,Regular Season: Week 8
184036,119243,MIBR,13-6,Regular Season: Week 8
184036,119244,100T,14-12,Regular Season: Week 8
184036,119245,MIBR,13-7,Regular Season: Week 8
184036,all,MIBR,2-1,Regular Season: Week 8
184037,119246,TL,13-8,Regular Season: Week 4
184037,119247,TL,17-15,Regular Season: Week 4
184037,all,TL,2-0,Regular Season: Week 4
184038,119249,FNC,13-4,Regular Season: Week 4
184038,119250,FNC,13-9,Regular Season: Week 4
184038,all,FNC,2-0,Regular Season: Week 4
184039,119252,GIA,13-5,Regular Season: Week 4
184039,119253,GIA,13-11,Regular Season: Week 4
184039,all,GIA,2-0,Regular Season: Week 4
184040,119255,NAVI,13-11,Regular Season: Week 4
184040,119256,NAVI,13-7,Regular Season: Week 4
184040,all,NAVI,2-0,Regular Season: Week 4
184041,119258,BBL,13-8,Regular Season: Week 4
184041,119259,BBL,13-9,Regular Season: Week 4
184041,all,BBL,2-0,Regular Season: Week 4
